category,question,autistic,non_autistic,prompt
,Tell me about a time you disagreed with a colleague.,"In a previous project, a teammate proposed using a forecasting model that did not align with our historical variance data. I told them the assumption was incorrect and showed the discrepancy in the dataset. We reviewed the numbers together and adjusted the model. The revised version reduced projection error by 18%.","In a previous project, a teammate proposed using a forecasting model that didn’t fully align with our historical variance data. I shared my concerns and walked through the dataset together so we could compare assumptions. We adjusted the model collaboratively, and the revised version reduced projection error by 18%.",
,Describe a time you had to push back on a deadline.,The proposed deadline required 4 weeks of work within 2 weeks. I explained that the timeline was not feasible given our current resources and outlined the minimum required time. I presented two options: extend the deadline or reduce scope. The deadline was extended.,The proposed deadline was tight relative to the workload. I expressed concern about feasibility and outlined what would realistically be required to meet expectations. I offered two options: adjusting the deadline or narrowing the scope. The team chose to extend the deadline.,
,Tell me about a time you received feedback from a manager or boss.,"A manager told me my documentation lacked clarity. I reviewed the feedback, compared it to prior versions, and revised the structure to improve readability. Subsequent reviews required fewer revisions.","A manager shared that my documentation could be clearer. I took time to reflect on the feedback and restructured the document to make it easier to follow. After that, my revisions were much smoother.",
,Why are you interested in this role?,The role aligns with my experience in distributed systems and performance optimization. The responsibilities match my prior work in reducing latency and improving throughput. I am interested because it fits my technical strengths.,"I’m excited about this role because it aligns closely with my background in distributed systems and performance optimization. I’ve worked extensively on reducing latency and improving throughput, and I’m motivated to apply those skills here.",
,How do you approach interactions with clients?,I prioritize clarity and efficiency. I ensure requirements are explicitly defined and avoid unnecessary ambiguity. My goal is to deliver accurate results within agreed timelines.,I focus on building clear and productive client relationships. I like to ensure expectations are aligned while keeping communication open and efficient. My goal is to deliver accurate results on time.,
,Tell me about a time you disagreed with a colleague.,"In a previous project, a teammate proposed using a forecasting model that did not align with our historical variance data. I told them the assumption was incorrect and showed the discrepancy in the dataset. We reviewed the numbers together and adjusted the model. The revised version reduced projection error by 18%.","In a previous project, a teammate proposed using a forecasting model that didn’t fully align with our historical variance data. I shared my concerns and walked through the dataset together so we could compare assumptions. We adjusted the model collaboratively, and the revised version reduced projection error by 18%.",
,Describe a time you had to push back on a deadline.,The proposed deadline required 4 weeks of work within 2 weeks. I explained that the timeline was not feasible given our current resources and outlined the minimum required time. I presented two options: extend the deadline or reduce scope. The deadline was extended.,The proposed deadline was tight relative to the workload. I expressed concern about feasibility and outlined what would realistically be required to meet expectations. I offered two options: adjusting the deadline or narrowing the scope. The team chose to extend the deadline.,
,Tell me about a time you received feedback from a manager or boss.,"A manager told me my documentation lacked clarity. I reviewed the feedback, compared it to prior versions, and revised the structure to improve readability. Subsequent reviews required fewer revisions.","A manager shared that my documentation could be clearer. I took time to reflect on the feedback and restructured the document to make it easier to follow. After that, my revisions were much smoother.",
,Why are you interested in this role?,The role aligns with my experience in distributed systems and performance optimization. The responsibilities match my prior work in reducing latency and improving throughput. I am interested because it fits my technical strengths.,"I’m excited about this role because it aligns closely with my background in distributed systems and performance optimization. I’ve worked extensively on reducing latency and improving throughput, and I’m motivated to apply those skills here.",
,How do you approach interactions with clients?,I prioritize clarity and efficiency. I ensure requirements are explicitly defined and avoid unnecessary ambiguity. My goal is to deliver accurate results within agreed timelines.,I focus on building clear and productive client relationships. I like to ensure expectations are aligned while keeping communication open and efficient. My goal is to deliver accurate results on time.,
